Realm,ID
Inner Baltic Sea,1
Black Sea,2
NE Atlantic,3
Arctic Europe,4
Mediterranean Sea,5
Arctic,6
North Pacific,7
N Atlantic boreal,8
Mid-tropical North Pacific Ocean,9
South-east Pacific,10
Tropical W Atlantic,11
Tropical E Pacific,12
Tropical Indo-Pacific (East Indies) & coastal Indian Ocean,13
Red Sea,14
Tasman Sea to SW Pacific,15
Tropical Australia & Coral Sea,16
Mid South Tropical Pacific,17
Offshore & NW North Atlantic,18
Offshore Indian Ocean,19
Offshore W Pacific,20
Offshore S Atlantic,21
Offshore mid-E Pacific,22
Tropical E Atlantic,23
Argentina,24
Chile,25
S Australia,26
S Africa,27
New Zealand,28
N W Pacific,29
Southern Ocean,30
